date,Actual,Actual_Cum,Cash_Return,Cash_Cum
2024-02-29,-0.004409283542982213,-0.004409283542982201,0.005430661077940213,0.005430661077940213
2024-03-31,-0.006673272680129605,-0.011053131871705535,0.005430661077940213,0.01089081423562388
2024-04-30,-0.02438530781696463,-0.03516890566563713,0.005430661077940213,0.016380619634540627
2024-05-31,-0.018948311665704085,-0.053450825945846936,0.005430661077940213,0.02190023830596277
2024-06-30,0.004765273928178561,-0.04894025984498784,0.005430661077940213,0.027449832155668874
2024-07-31,0.049810060835569256,-0.0015679163296060672,0.005430661077940213,0.03302956396869283
2024-08-31,0.009878043804507792,0.00829463952871623,0.005430661077940213,0.03863959741409917
2024-09-30,0.005303069354076663,0.013641695931480902,0.005430661077940213,0.04428009704978342
2024-10-31,-0.06342744383974819,-0.050651005810840255,0.005430661077940213,0.04995122832729937
2024-11-30,-0.01567755787842271,-0.06553447961406322,0.005430661077940213,0.055653157596711855
2024-12-31,-0.02866983227923277,-0.09232544935425402,0.005430661077940213,0.061386052111477074
2025-01-31,-0.020045786740529953,-0.11052049982630496,0.005430661077940213,0.06715008003334755
2025-02-28,-0.042339601056410645,-0.14818070701151476,0.005430661077940213,0.07294541043730551
2025-03-31,0.055718727801864834,-0.10071841968911233,0.005430661077940213,0.07877221331652207
2025-04-30,0.04045593543223379,-0.06433714214065789,0.005430661077940213,0.08463065958734362
2025-05-31,-0.023660614750993354,-0.08647550055728126,0.005430661077940213,0.0905209210943052
2025-06-30,0.0249265591464819,-0.063704478090162,0.005430661077940213,0.0964431706151716
2025-07-31,-0.010563348950663324,-0.0735948944090391,0.005430661077940213,0.10239758186600478
2025-08-31,0.002740220499113497,-0.07105634014821527,0.005430661077940213,0.10838432950625987
2025-09-30,-0.06591609508933234,-0.13228867876363792,0.005430661077940213,0.11440358914390836
2025-10-31,0.022925395038887943,-0.11239605394457897,0.005430661077940213,0.12045553734058911
2025-11-30,0.012286426470868217,-0.10149057332611655,0.005430661077940213,0.12654035161678734
2025-12-31,-0.0007577544713527882,-0.10217142286173131,0.005430661077940213,0.13265821045704174
2026-01-31,-0.06221796879325798,-0.15803249325581536,0.005430661077940213,0.1388092933151801
2026-02-28,-0.06645045323372564,-0.21398161568703644,0.005430661077940213,0.14499378061958335
